Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Fang_total_count,Fang_average_count_per_deck,Fang_average_count_per_normalized_deck,Fang_pick_rate,Cindra_total_count,Cindra_average_count_per_deck,Cindra_average_count_per_normalized_deck,Cindra_pick_rate,"Arakni, Web of Deceit_total_count","Arakni, Web of Deceit_average_count_per_deck","Arakni, Web of Deceit_average_count_per_normalized_deck","Arakni, Web of Deceit_pick_rate",weighted_pick_rate
Kiss of Death (red),mythic,1,HNT012,"Assassin, Action, Dagger, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT012.png,rkRhTdHrdkwMhFwHnPGMk,Red,1,0,3,3,,,,"Assassin, Action, Dagger, Attack",,Stealth,,,,,,"""**Stealth**",,,,,,,,8,0.039603960396039604,0.03385485902230223,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.17076296422819012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0.11267605633802817,0.09631945806345142,0.48570320474260054,0.1619010682475335
Under the Trap-Door (blue),mythic,3,HNT013,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT013.png,TdH7kmMbcGfRPpcGCfFkT,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,Instant,,,,,"""**Stealth**",,,,,,,,7,0.034653465346534656,0.030071820389704167,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.14941759369966637,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.09859154929577464,0.08555644674253862,0.42499030414977546,0.14166343471659182
Take Up the Mantle (yellow),mythic,2,HNT014,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT014.png,C7rGNWzwQJpMRcmLBbbQP,Yellow,2,0,,3,,,,"Assassin, Attack Reaction",,,,,,,"Stealth, Mark","Target attack action card with **stealth** gets +2{p}. If it's attacking a **marked** hero, instead it gets +3{p} and you may banish an attack action card with **stealth** from your graveyard. If you do, the target becomes a copy of the banished card.",Assassin Attack Reaction,,,,No,No,,7,0.034653465346534656,0.02984245382370394,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.14941759369966637,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.09859154929577464,0.0849038827096929,0.42499030414977546,0.14166343471659182
Tarantula Toxin (red),mythic,1,HNT015,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT015.png,BfCHDqCQHfNgqQGckhq7d,Red,1,0,,3,,,,"Assassin, Attack Reaction",,,,,,,Stealth,"""Choose 1 or both;",,,,,,,,6,0.0297029702970297,0.026069271701187835,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.12807222317114259,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.08450704225352113,0.0741689138540837,0.3642774035569504,0.12142580118565012
Anaphylactic Shock (blue),mythic,3,HNT016,"Assassin, Instant, Trap",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT016.png,b8QzFkMC9fKfngpQHwNBK,Blue,3,0,,,,,,"Assassin, Instant, Trap",,,,,,,,Each opposing hero and ally that has dealt damage to you this turn loses 1{h}.,Assassin Instant - Trap,,,,No,No,,3,0.01485148514851485,0.01265201708140739,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.06403611158557129,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.04225352112676056,0.035995879583722426,0.1821387017784752,0.06071290059282506
Bite (red),rare,1,HNT017,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT017.png,FdjqnMbJH8r9QqtFFmGKM,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,,"""**Stealth**",,,,,,,,23,0.11386138613861387,0.0950596290847034,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.1535742835286325,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,0.323943661971831,0.27045133908605756,0.43694511321110424,0.14564837107036807
Bite (yellow),rare,2,HNT018,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT018.png,qTcLJRLFGGTnwnJTthbDq,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,,,,,,"""**Stealth**",,,,,,,,8,0.039603960396039604,0.034760765850602775,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.05341714209691566,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0.11267605633802817,0.09889682678622198,0.1519809089429928,0.0506603029809976
Bite (blue),rare,3,HNT019,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT019.png,K7CMNqCLndJQdztbmmmcM,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,,,,,,"""**Stealth**",,,,,,,,20,0.09900990099009901,0.0860662420492624,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.13354285524228915,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,0.28169014084507044,0.24486451963311276,0.37995227235748197,0.126650757452494
Whittle from Bone (red),rare,1,HNT020,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT020.png,RchmHdpjFdfQrcKkCn8MP,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,16,0.07920792079207921,0.06836566436033292,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.10683428419383131,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,0.22535211267605634,0.19450512958855282,0.3039618178859856,0.1013206059619952
Whittle from Bone (yellow),rare,2,HNT021,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT021.png,qQKjHgDgPhRzrhQTkTf7N,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,13,0.06435643564356436,0.05507245062407509,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.08680285590748794,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,0.18309859154929578,0.15668500036708688,0.24696897703236328,0.08232299234412109
