deck_id,hero,date,assigned_draft_index
0,"Arakni, Web of Deceit",2025-01-20T21:46:29,1
1,Fang,2025-01-20T23:31:21,1
2,Fang,2025-01-21T02:26:31,1
3,"Arakni, Web of Deceit",2025-01-21T04:07:53,1
4,Fang,2025-01-21T13:12:45,1
5,"Arakni, Web of Deceit",2025-01-21T18:04:14,1
6,"Arakni, Web of Deceit",2025-01-21T19:21:38,1
7,Fang,2025-01-21T20:24:52,1
8,Fang,2025-01-21T21:34:40,1
9,"Arakni, Web of Deceit",2025-01-22T03:42:35,1
10,"Arakni, Web of Deceit",2025-01-22T10:38:57,1
11,Cindra,2025-01-22T14:40:54,1
12,"Arakni, Web of Deceit",2025-01-22T20:47:30,1
13,Fang,2025-01-22T21:20:29,1
14,Fang,2025-01-22T23:36:14,1
15,"Arakni, Web of Deceit",2025-01-23T13:41:40,1
16,Fang,2025-01-23T16:48:42,1
17,Cindra,2025-01-23T21:36:59,1
18,Fang,2025-01-23T22:23:37,1
19,Fang,2025-01-24T04:14:46,1
20,"Arakni, Web of Deceit",2025-01-24T23:44:07,1
21,Fang,2025-01-25T01:43:19,1
22,"Arakni, Web of Deceit",2025-01-25T16:42:14,1
23,"Arakni, Web of Deceit",2025-01-25T21:39:05,1
24,"Arakni, Web of Deceit",2025-01-26T01:17:17,1
25,Fang,2025-01-26T02:03:52,1
26,Fang,2025-01-26T02:28:19,1
27,"Arakni, Web of Deceit",2025-01-26T05:33:00,1
28,Cindra,2025-01-26T07:50:08,1
29,"Arakni, Web of Deceit",2025-01-27T00:23:11,1
30,Cindra,2025-01-27T00:55:50,1
31,"Arakni, Web of Deceit",2025-01-27T04:54:16,1
32,Cindra,2025-01-27T16:29:39,1
33,Fang,2025-01-27T19:26:21,1
34,Fang,2025-01-28T00:29:52,1
35,Cindra,2025-01-28T04:31:15,1
36,Fang,2025-01-28T07:34:58,1
37,"Arakni, Web of Deceit",2025-01-28T15:37:08,1
38,Fang,2025-01-28T17:08:13,1
39,Fang,2025-01-28T21:04:50,1
40,Fang,2025-01-28T22:04:17,1
41,"Arakni, Web of Deceit",2025-01-29T08:24:23,1
42,Fang,2025-01-29T18:47:10,1
43,"Arakni, Web of Deceit",2025-01-29T20:40:45,1
44,Fang,2025-01-29T22:01:36,1
45,Fang,2025-01-29T23:21:58,1
46,"Arakni, Web of Deceit",2025-01-30T02:44:43,1
47,"Arakni, Web of Deceit",2025-01-30T05:27:19,1
48,Cindra,2025-01-30T06:46:31,1
