hero,date,deck_count
"Arakni, Web of Deceit",2025-01-20,1
"Arakni, Web of Deceit",2025-01-21,3
"Arakni, Web of Deceit",2025-01-22,3
"Arakni, Web of Deceit",2025-01-23,1
"Arakni, Web of Deceit",2025-01-24,1
"Arakni, Web of Deceit",2025-01-25,2
"Arakni, Web of Deceit",2025-01-26,2
"Arakni, Web of Deceit",2025-01-27,2
"Arakni, Web of Deceit",2025-01-28,1
"Arakni, Web of Deceit",2025-01-29,2
"Arakni, Web of Deceit",2025-01-30,2
"Arakni, Web of Deceit",2025-01-31,1
"Arakni, Web of Deceit",2025-02-01,2
"Arakni, Web of Deceit",2025-02-02,2
"Arakni, Web of Deceit",2025-02-05,1
"Arakni, Web of Deceit",2025-02-08,2
"Arakni, Web of Deceit",2025-02-10,2
"Arakni, Web of Deceit",2025-02-11,2
"Arakni, Web of Deceit",2025-02-12,4
"Arakni, Web of Deceit",2025-02-13,1
"Arakni, Web of Deceit",2025-02-16,1
"Arakni, Web of Deceit",2025-02-17,1
"Arakni, Web of Deceit",2025-02-18,2
"Arakni, Web of Deceit",2025-02-19,2
"Arakni, Web of Deceit",2025-02-22,2
"Arakni, Web of Deceit",2025-02-26,1
"Arakni, Web of Deceit",2025-02-28,1
"Arakni, Web of Deceit",2025-03-01,1
"Arakni, Web of Deceit",2025-03-06,3
"Arakni, Web of Deceit",2025-03-12,2
"Arakni, Web of Deceit",2025-03-13,2
"Arakni, Web of Deceit",2025-03-15,2
"Arakni, Web of Deceit",2025-03-17,1
"Arakni, Web of Deceit",2025-03-18,1
"Arakni, Web of Deceit",2025-03-21,1
"Arakni, Web of Deceit",2025-03-22,1
"Arakni, Web of Deceit",2025-03-25,1
"Arakni, Web of Deceit",2025-03-28,1
"Arakni, Web of Deceit",2025-03-29,1
"Arakni, Web of Deceit",2025-03-30,2
"Arakni, Web of Deceit",2025-04-03,1
"Arakni, Web of Deceit",2025-04-04,1
"Arakni, Web of Deceit",2025-04-06,1
"Arakni, Web of Deceit",2025-04-08,1
"Arakni, Web of Deceit",2025-04-09,1
Cindra,2025-01-22,1
Cindra,2025-01-23,1
Cindra,2025-01-26,1
Cindra,2025-01-27,2
Cindra,2025-01-28,1
Cindra,2025-01-30,1
Cindra,2025-02-02,4
Cindra,2025-02-03,2
Cindra,2025-02-04,1
Cindra,2025-02-06,1
Cindra,2025-02-07,1
Cindra,2025-02-08,1
Cindra,2025-02-09,2
Cindra,2025-02-10,1
Cindra,2025-02-12,1
Cindra,2025-02-13,1
Cindra,2025-02-14,2
Cindra,2025-02-16,3
Cindra,2025-02-17,1
Cindra,2025-02-19,1
Cindra,2025-02-21,2
Cindra,2025-02-22,2
Cindra,2025-02-25,1
Cindra,2025-02-27,1
Cindra,2025-02-28,1
Cindra,2025-03-05,1
Cindra,2025-03-12,1
Cindra,2025-03-17,2
Cindra,2025-03-19,1
Cindra,2025-03-22,1
Cindra,2025-03-23,1
Cindra,2025-03-30,1
Cindra,2025-04-03,1
Cindra,2025-04-04,1
Cindra,2025-04-07,1
Fang,2025-01-20,1
Fang,2025-01-21,4
Fang,2025-01-22,2
Fang,2025-01-23,2
Fang,2025-01-24,1
Fang,2025-01-25,1
Fang,2025-01-26,2
Fang,2025-01-27,1
Fang,2025-01-28,5
Fang,2025-01-29,3
Fang,2025-01-30,2
Fang,2025-01-31,2
Fang,2025-02-01,2
Fang,2025-02-02,5
Fang,2025-02-03,2
Fang,2025-02-04,2
Fang,2025-02-05,2
Fang,2025-02-06,2
Fang,2025-02-07,2
Fang,2025-02-08,2
Fang,2025-02-09,1
Fang,2025-02-10,1
Fang,2025-02-11,2
Fang,2025-02-12,1
Fang,2025-02-13,4
Fang,2025-02-14,1
Fang,2025-02-15,1
Fang,2025-02-17,2
Fang,2025-02-18,1
Fang,2025-02-19,1
Fang,2025-02-20,1
Fang,2025-02-22,2
Fang,2025-02-25,1
Fang,2025-02-26,1
Fang,2025-02-27,1
Fang,2025-02-28,4
Fang,2025-03-05,2
Fang,2025-03-09,1
Fang,2025-03-20,1
Fang,2025-03-21,1
Fang,2025-03-26,1
Fang,2025-03-27,1
Fang,2025-03-31,1
Fang,2025-04-01,1
Fang,2025-04-03,1
Fang,2025-04-05,2
Fang,2025-04-06,1
Fang,2025-04-07,1
