Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,pick_rate,Enigma_total_count,Enigma_average_count_per_deck,Enigma_average_count_per_normalized_deck,Enigma_pick_rate,Nuu_total_count,Nuu_average_count_per_deck,Nuu_average_count_per_normalized_deck,Nuu_pick_rate,Zen_total_count,Zen_average_count_per_deck,Zen_average_count_per_normalized_deck,Zen_pick_rate,weighted_pick_rate
Heirloom of Snake Hide,rare,0,MST005,"Mystic, Assassin, Equipment, Chest",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST005.png,wqzWn8rMcWhGwNQfKtWtG,,,,,2,,,,"Mystic, Assassin, Equipment, Chest",,"Cloaked, Battleworn",,,,,,"""**Cloaked**",,,,,,,,43,0.08977035490605428,0.0,0.8047982222222227,0.8045213333333332,0.1115662852829804,0,0.0,0.0,0.0,43,0.2905405405405405,0.0,0.3610792447014895,0,0.0,0.0,0.0,0.12035974823382983
Arousing Wave,common,0,MST006,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST006.png,z6hzjr7zdqfrh8nQMf6CH,,,,,1,,,,"Mystic, Assassin, Equipment, Arms",,Battleworn,Attack Reaction,,,,,"""**Attack Reaction** - {r}, destroy this: Create a Fang Strike in your hand.",,,,,,,,91,0.18997912317327767,0.0,1.8941635542857134,1.2000000000000002,0.12751657626610208,0,0.0,0.0,0.0,91,0.6148648648648649,0.0,0.4073141179835838,0,0.0,0.0,0.0,0.1357713726611946
Undertow Stilettos,common,0,MST007,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST007.png,7FKzc7kNTqjg78RNqwM77,,,,,1,,,,"Mystic, Assassin, Equipment, Legs",,Battleworn,Attack Reaction,,,,,"""**Attack Reaction** - {r}, destroy this: Create a Slither in your hand.",,,,,,,,83,0.1732776617954071,0.0,1.8941635542857134,1.2000000000000002,0.11630632780314804,0,0.0,0.0,0.0,83,0.5608108108108109,0.0,0.37150628343557646,0,0.0,0.0,0.0,0.12383542781185881
Gorgon's Gaze (yellow),mythic,2,MST008,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST008.png,tFjCKTzpnNCbMGwgtMjFn,Yellow,2,2,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Create a Slither in your hand.",,,,,,,,7,0.014613778705636743,0.012808155146666752,0.2051822222222222,0.21044711111111114,0.07017460252013527,0,0.0,0.0,0.0,7,0.0472972972972973,0.04145342104900929,0.22728239579369117,0,0.0,0.0,0.0,0.07576079859789706
Siren's Call (red),mythic,1,MST009,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST009.png,bczQzLRqRKQpkCBHmTCHf,Red,1,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"Look at the defending hero's hand and choose a blue card. Add it to this chain link as a defending card. If you do, draw a card.",Mystic Assassin Attack Reaction,,,,No,No,,7,0.014613778705636743,0.012347291175732782,0.2051822222222222,0.21044711111111114,0.07017460252013527,0,0.0,0.0,0.0,7,0.0472972972972973,0.03996184103497299,0.22728239579369117,0,0.0,0.0,0.0,0.07576079859789706
Sacred Art: Undercurrent Desires (blue),mythic,3,MST010,"Mystic, Assassin, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST010.png,c8CdW9QBrMJPh6nwJGJ6Q,Blue,3,3,,,,,,"Mystic, Assassin, Instant",,"Legendary, Transcend",,,,,,"""**Legendary**",,,,,,,,16,0.033402922755741124,0.02934089249651722,0.2051822222222222,0.1687351111111111,0.18158389640566078,0,0.0,0.0,0.0,16,0.10810810810810811,0.09496140206643074,0.5844043137609619,0,0.0,0.0,0.0,0.19480143792032065
Tide Chakra (red),rare,1,MST011,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST011.png,ftdRwjTPb9PNhfpfMMkzC,Red,1,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,Transcend,"Target Assassin or Mystic attack action card gets +3{p}. If you've **transcended** this turn, instead it gets +5{p}.",Mystic Assassin Attack Reaction,,,,,No,,38,0.07933194154488518,0.0683274226069297,0.9162024888888891,0.9151058666666666,0.08664819008767004,0,0.0,0.0,0.0,38,0.25675675675675674,0.22114077992377926,0.2804261540820297,0,0.0,0.0,0.0,0.0934753846940099
Tide Chakra (yellow),rare,2,MST012,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST012.png,M78m9cmqphb7hgLRWJmT9,Yellow,2,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,Transcend,"Target Assassin or Mystic attack action card gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.",Mystic Assassin Attack Reaction,,,,,No,,21,0.04384133611691023,0.03871371828686245,0.9162024888888891,0.9151058666666666,0.047884526101080814,0,0.0,0.0,0.0,21,0.14189189189189189,0.12529642607707508,0.1549723483084901,0,0.0,0.0,0.0,0.05165744943616337
Tide Chakra (blue),rare,3,MST013,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST013.png,rtWWzqfqCGrRG9LHzKmgD,Blue,3,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,Transcend,"Target Assassin or Mystic attack action card gets +1{p}. If you've **transcended** this turn, instead it gets +3{p}.",Mystic Assassin Attack Reaction,,,,,No,,36,0.07515657620041753,0.06650916450687189,0.9162024888888891,0.9151058666666666,0.08208775903042426,0,0.0,0.0,0.0,36,0.24324324324324326,0.2152560121539975,0.2656668828145544,0,0.0,0.0,0.0,0.08855562760485147
Hiss (red),common,1,MST014,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST014.png,nhqPkqkWqbcjBCWG6RrFq,Red,1,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +3{p}.",,,,,,,,166,0.3465553235908142,0.29975785571314095,2.779459440000001,2.8090748093023254,0.12391538951605292,0,0.0,0.0,0.0,166,1.1216216216216217,0.9701622492337467,0.4011711709938104,0,0.0,0.0,0.0,0.13372372366460347
