Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,draft_average_occurrence4,draft_average_occurrence5,draft_average_occurrence6,pick_rate,"Aurora, Emissary of Lightning_total_count","Aurora, Emissary of Lightning_average_count_per_deck","Aurora, Emissary of Lightning_average_count_per_normalized_deck","Aurora, Emissary of Lightning_pick_rate","Oscilio, Scion of the Third Age_total_count","Oscilio, Scion of the Third Age_average_count_per_deck","Oscilio, Scion of the Third Age_average_count_per_normalized_deck","Oscilio, Scion of the Third Age_pick_rate",Zyggy_total_count,Zyggy_average_count_per_deck,Zyggy_average_count_per_normalized_deck,Zyggy_pick_rate,weighted_pick_rate
Unwinding Finality (red),mythic,1,OMN004,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN004.webp,QGcNgm9FQLDfT8LtBcGB7,Red,1,0,5,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""When this hits, draw a card.",,,,,,,,19,0.05539358600583091,0.046710856242939754,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.32,0.32,0.4666666666666669,0.12994907143425158,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.20652173913043478,0.17415025751443844,0.47227226275533,0.15742408758511
Flicker Reality (blue),mythic,3,OMN005,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN005.webp,pDcNGgGpPKKtj9wkD7jQR,Blue,3,0,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,,"""When this leaves the arena, you may banish another Lightning aura permanent you control with no holo counters, then return it to the arena with a holo counter.",,,,,,,,14,0.04081632653061224,0.03436316983239512,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.4191735537190082,0.4191735537190082,0.5352380952380951,0.08412514682294182,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,0.15217391304347827,0.12811486144034265,0.3076943581689641,0.10256478605632137
Blink of an Eye (red),rare,1,OMN006,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN006.webp,Cmf8GkhNpRqdpkwLg9RnK,Red,1,2,7,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, you may banish a Lightning aura permanent you control with no holo counters, then return it to the arena with a holo counter.",,,,,,,,42,0.12244897959183673,0.104762043071905,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.15986327132400868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,0.45652173913043476,0.3905802258006893,0.5974296774459396,0.19914322581531319
Fraying Lifeforce (red),rare,1,OMN007,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN007.webp,MQCrDKpjPzkPHDGKztTTr,Red,1,2,7,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, gain 1{h}.",,,,,,,,31,0.09037900874635568,0.07722268987320122,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.11799431931057784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31,0.33695652173913043,0.28790633289682627,0.4409600000196221,0.14698666667320737
Scattering Conflux (red),rare,1,OMN008,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN008.webp,DDNkGQ7L9kNzzFthTtTKH,Red,1,2,7,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, create an Embodiment of Lightning token.",,,,,,,,27,0.07871720116618076,0.06536848144036132,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10276924585114844,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,0.29347826086956524,0.2437107514569993,0.3840619355009612,0.12802064516698705
Polarus Pulse Ray (red),rare,1,OMN009,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN009.webp,q7gj97HJJJD7Kkbk8PkBp,Red,1,2,7,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, deal 1 arcane damage to the defending hero.",,,,,,,,38,0.11078717201166181,0.09308375595980864,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.1446381978645793,0,0.0,0.0,0.0,0,0.0,0.0,0.0,38,0.41304347826086957,0.3470405249371126,0.5405316129272787,0.1801772043090929
Polarus Pulse Ray (yellow),rare,2,OMN010,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN010.webp,cjgpLNMgcd7HBcnJnDJ6j,Yellow,2,2,6,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, deal 1 arcane damage to the defending hero.",,,,,,,,17,0.04956268221574344,0.041210796042051856,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.06470656220257495,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.18478260869565216,0.15364459828721505,0.2418167742043089,0.08060559140143629
Polarus Pulse Ray (blue),rare,3,OMN011,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN011.webp,Mh9bPkdPw6Hf7NCQhTqgp,Blue,3,2,5,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, deal 1 arcane damage to the defending hero.",,,,,,,,17,0.04956268221574344,0.04093794080333808,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.06470656220257495,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.18478260869565216,0.15262732277766264,0.2418167742043089,0.08060559140143629
Corrosive Space Dust (red),rare,1,OMN012,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN012.webp,QPTGQGKCgD6B7fR9Nngdn,Red,1,1,,,,,1,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"""When this leaves the arena, deal 1 arcane damage to target hero.",,,,,,,,27,0.07871720116618076,0.06560086042553297,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10276924585114844,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,0.29347826086956524,0.244577120934324,0.3840619355009612,0.12802064516698705
Corrosive Space Dust (yellow),rare,2,OMN013,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN013.webp,nM8W6pkg66hWdcq7LpNgf,Yellow,2,1,,,,,1,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"""When this leaves the arena, deal 1 arcane damage to target hero.",,,,,,,,42,0.12244897959183673,0.1044754411933748,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.15986327132400868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,0.45652173913043476,0.3895116992318213,0.5974296774459396,0.19914322581531319
