deck_id,hero,date,assigned_draft_index
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,2
1,"Oscilio, Scion of the Third Age",2026-05-24T00:21:24,2
2,"Aurora, Emissary of Lightning",2026-05-24T01:02:00,2
3,"Oscilio, Scion of the Third Age",2026-05-24T01:03:10,1
4,"Aurora, Emissary of Lightning",2026-05-24T02:23:04,2
5,"Oscilio, Scion of the Third Age",2026-05-24T04:48:54,1
6,Zyggy,2026-05-24T04:52:09,2
7,"Aurora, Emissary of Lightning",2026-05-24T05:40:31,1
8,"Oscilio, Scion of the Third Age",2026-05-24T07:49:25,1
9,"Oscilio, Scion of the Third Age",2026-05-24T08:31:15,1
10,"Oscilio, Scion of the Third Age",2026-05-24T11:56:17,2
11,Zyggy,2026-05-24T20:04:32,2
12,Zyggy,2026-05-24T21:25:41,2
13,"Aurora, Emissary of Lightning",2026-05-24T22:45:56,2
14,"Oscilio, Scion of the Third Age",2026-05-24T22:48:06,1
15,"Aurora, Emissary of Lightning",2026-05-24T23:06:06,1
16,"Oscilio, Scion of the Third Age",2026-05-24T23:17:29,2
17,"Oscilio, Scion of the Third Age",2026-05-25T00:21:34,1
18,"Aurora, Emissary of Lightning",2026-05-25T03:09:16,1
19,Zyggy,2026-05-25T05:58:35,1
20,Zyggy,2026-05-25T06:16:23,1
21,"Oscilio, Scion of the Third Age",2026-05-25T07:36:06,1
22,Zyggy,2026-05-25T08:16:41,1
23,"Oscilio, Scion of the Third Age",2026-05-25T08:46:02,1
24,"Oscilio, Scion of the Third Age",2026-05-25T09:24:32,1
25,Zyggy,2026-05-25T13:01:09,1
26,Zyggy,2026-05-25T16:02:16,1
27,"Aurora, Emissary of Lightning",2026-05-25T16:47:37,1
28,"Oscilio, Scion of the Third Age",2026-05-25T17:47:57,2
29,"Oscilio, Scion of the Third Age",2026-05-25T20:12:24,2
30,"Aurora, Emissary of Lightning",2026-05-25T22:00:41,1
31,"Oscilio, Scion of the Third Age",2026-05-25T22:16:44,1
32,Zyggy,2026-05-25T22:20:01,1
33,"Oscilio, Scion of the Third Age",2026-05-25T23:08:20,2
34,"Oscilio, Scion of the Third Age",2026-05-25T23:42:57,1
35,"Oscilio, Scion of the Third Age",2026-05-26T00:06:16,2
36,"Oscilio, Scion of the Third Age",2026-05-26T03:00:32,1
37,"Aurora, Emissary of Lightning",2026-05-26T04:35:43,1
38,"Aurora, Emissary of Lightning",2026-05-26T04:41:03,1
39,Zyggy,2026-05-26T05:56:43,1
40,"Aurora, Emissary of Lightning",2026-05-26T06:05:22,1
41,"Oscilio, Scion of the Third Age",2026-05-26T06:22:31,1
42,"Oscilio, Scion of the Third Age",2026-05-26T06:43:14,1
43,Zyggy,2026-05-26T07:39:25,1
44,"Aurora, Emissary of Lightning",2026-05-26T07:50:13,1
45,"Oscilio, Scion of the Third Age",2026-05-26T08:41:37,1
46,"Oscilio, Scion of the Third Age",2026-05-26T09:08:04,1
47,Zyggy,2026-05-26T10:00:56,1
48,"Aurora, Emissary of Lightning",2026-05-26T10:50:37,2
49,"Oscilio, Scion of the Third Age",2026-05-26T11:12:19,1
50,"Aurora, Emissary of Lightning",2026-05-26T11:46:20,2
51,Zyggy,2026-05-26T12:19:55,1
52,"Oscilio, Scion of the Third Age",2026-05-26T12:29:54,2
53,Zyggy,2026-05-26T15:16:34,1
54,Zyggy,2026-05-26T17:06:57,2
55,Zyggy,2026-05-26T17:36:48,1
56,"Oscilio, Scion of the Third Age",2026-05-26T18:44:56,2
57,"Oscilio, Scion of the Third Age",2026-05-26T18:59:57,2
58,"Oscilio, Scion of the Third Age",2026-05-26T20:50:06,1
59,"Oscilio, Scion of the Third Age",2026-05-26T23:21:24,1
60,"Oscilio, Scion of the Third Age",2026-05-26T23:22:36,1
61,"Oscilio, Scion of the Third Age",2026-05-26T23:48:28,3
62,"Aurora, Emissary of Lightning",2026-05-27T00:16:06,2
63,Zyggy,2026-05-27T02:11:57,1
64,"Aurora, Emissary of Lightning",2026-05-27T02:40:00,1
65,Zyggy,2026-05-27T02:48:58,1
66,"Oscilio, Scion of the Third Age",2026-05-27T03:07:16,1
67,"Oscilio, Scion of the Third Age",2026-05-27T03:52:10,1
68,"Aurora, Emissary of Lightning",2026-05-27T05:15:16,2
69,"Oscilio, Scion of the Third Age",2026-05-27T05:55:36,1
70,"Aurora, Emissary of Lightning",2026-05-27T06:19:24,1
71,"Aurora, Emissary of Lightning",2026-05-27T07:27:24,1
72,"Aurora, Emissary of Lightning",2026-05-27T07:28:28,3
73,"Oscilio, Scion of the Third Age",2026-05-27T08:41:47,3
74,Zyggy,2026-05-27T10:32:21,1
75,"Aurora, Emissary of Lightning",2026-05-27T11:02:27,1
76,"Aurora, Emissary of Lightning",2026-05-27T11:33:18,3
77,Zyggy,2026-05-27T12:25:24,3
78,Zyggy,2026-05-27T13:57:01,1
79,Zyggy,2026-05-27T14:27:27,4
80,Zyggy,2026-05-27T18:46:13,1
81,Zyggy,2026-05-27T19:37:17,4
82,Zyggy,2026-05-27T20:30:57,1
83,"Oscilio, Scion of the Third Age",2026-05-27T21:20:07,4
84,"Oscilio, Scion of the Third Age",2026-05-27T21:38:18,4
85,"Oscilio, Scion of the Third Age",2026-05-27T22:20:46,4
86,"Aurora, Emissary of Lightning",2026-05-27T22:27:14,2
87,"Oscilio, Scion of the Third Age",2026-05-27T23:28:06,1
88,"Aurora, Emissary of Lightning",2026-05-28T00:29:46,4
89,"Aurora, Emissary of Lightning",2026-05-28T05:10:29,1
90,"Aurora, Emissary of Lightning",2026-05-28T06:33:59,1
91,Zyggy,2026-05-28T12:16:38,1
92,"Oscilio, Scion of the Third Age",2026-05-28T13:12:56,1
93,"Oscilio, Scion of the Third Age",2026-05-28T15:08:58,1
94,"Oscilio, Scion of the Third Age",2026-05-28T16:33:05,4
95,Zyggy,2026-05-28T16:34:37,4
96,Zyggy,2026-05-28T17:35:41,4
97,"Oscilio, Scion of the Third Age",2026-05-28T18:06:34,1
98,Zyggy,2026-05-28T18:24:04,1
99,"Aurora, Emissary of Lightning",2026-05-28T19:01:49,1
100,"Oscilio, Scion of the Third Age",2026-05-28T19:05:24,4
101,"Aurora, Emissary of Lightning",2026-05-28T19:54:43,1
102,"Oscilio, Scion of the Third Age",2026-05-28T21:45:23,4
103,"Aurora, Emissary of Lightning",2026-05-28T22:34:58,4
