deck_id,hero,date,card_name,count,is_equipment
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Calmveil of Volthaven (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Conflicting Thoughts (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Core Reaction (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Cosmic Suture (red),3,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Enion Surge (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Meteoric Impact (red),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Meteoric Rise (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Nucleus Aetherbolt (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Turn to Mindfire (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Visionary of Orbits (red),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Constella Contemplation (yellow),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Constella Flowslide (yellow),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Glide Through Starlight (yellow),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Haven Veil (yellow),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Heaven's Claws (yellow),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Nebula Duality (yellow),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Conflicting Thoughts (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Cosmic Suture (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Enion Surge (blue),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Flash Bolt (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Flittering Spike (blue),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Chromatic Refinement (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Nebula Duality (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Sigil of Astral Flow (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Starlight Road (blue),2,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Tap Lessons Past (blue),1,0
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Boots of Astral Sanctuary,1,1
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Seeker's Gilet,1,1
0,"Oscilio, Scion of the Third Age",2026-05-23T23:24:38,Seeker's Mitts,1,1
1,"Oscilio, Scion of the Third Age",2026-05-24T00:21:24,Brush Off (red),1,0
