hero,date,deck_count
"Aurora, Emissary of Lightning",2026-05-24,5
"Aurora, Emissary of Lightning",2026-05-25,3
"Aurora, Emissary of Lightning",2026-05-26,6
"Aurora, Emissary of Lightning",2026-05-27,9
"Aurora, Emissary of Lightning",2026-05-28,6
"Aurora, Emissary of Lightning",2026-05-29,5
"Aurora, Emissary of Lightning",2026-05-30,1
"Aurora, Emissary of Lightning",2026-05-31,5
"Aurora, Emissary of Lightning",2026-06-01,3
"Aurora, Emissary of Lightning",2026-06-02,4
"Aurora, Emissary of Lightning",2026-06-03,6
"Aurora, Emissary of Lightning",2026-06-04,5
"Aurora, Emissary of Lightning",2026-06-05,2
"Aurora, Emissary of Lightning",2026-06-06,4
"Aurora, Emissary of Lightning",2026-06-07,11
"Aurora, Emissary of Lightning",2026-06-08,5
"Aurora, Emissary of Lightning",2026-06-09,6
"Aurora, Emissary of Lightning",2026-06-10,3
"Aurora, Emissary of Lightning",2026-06-11,5
"Aurora, Emissary of Lightning",2026-06-12,3
"Aurora, Emissary of Lightning",2026-06-13,1
"Oscilio, Scion of the Third Age",2026-05-23,1
"Oscilio, Scion of the Third Age",2026-05-24,8
"Oscilio, Scion of the Third Age",2026-05-25,9
"Oscilio, Scion of the Third Age",2026-05-26,14
"Oscilio, Scion of the Third Age",2026-05-27,8
"Oscilio, Scion of the Third Age",2026-05-28,6
"Oscilio, Scion of the Third Age",2026-05-29,9
"Oscilio, Scion of the Third Age",2026-05-30,6
"Oscilio, Scion of the Third Age",2026-05-31,8
"Oscilio, Scion of the Third Age",2026-06-01,5
"Oscilio, Scion of the Third Age",2026-06-02,4
"Oscilio, Scion of the Third Age",2026-06-03,3
"Oscilio, Scion of the Third Age",2026-06-04,7
"Oscilio, Scion of the Third Age",2026-06-05,7
"Oscilio, Scion of the Third Age",2026-06-06,6
"Oscilio, Scion of the Third Age",2026-06-07,5
"Oscilio, Scion of the Third Age",2026-06-08,4
"Oscilio, Scion of the Third Age",2026-06-09,6
"Oscilio, Scion of the Third Age",2026-06-10,4
"Oscilio, Scion of the Third Age",2026-06-11,4
"Oscilio, Scion of the Third Age",2026-06-12,4
Zyggy,2026-05-24,3
Zyggy,2026-05-25,6
Zyggy,2026-05-26,7
Zyggy,2026-05-27,9
Zyggy,2026-05-28,6
Zyggy,2026-05-29,4
Zyggy,2026-05-30,1
Zyggy,2026-05-31,2
Zyggy,2026-06-01,4
Zyggy,2026-06-02,1
Zyggy,2026-06-03,3
Zyggy,2026-06-04,1
Zyggy,2026-06-05,3
Zyggy,2026-06-06,6
Zyggy,2026-06-07,5
Zyggy,2026-06-08,8
Zyggy,2026-06-09,3
Zyggy,2026-06-10,3
Zyggy,2026-06-11,1
Zyggy,2026-06-12,2
