Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Florian_total_count,Florian_average_count_per_deck,Florian_average_count_per_normalized_deck,Florian_pick_rate,Verdance_total_count,Verdance_average_count_per_deck,Verdance_average_count_per_normalized_deck,Verdance_pick_rate,Oscilio_total_count,Oscilio_average_count_per_deck,Oscilio_average_count_per_normalized_deck,Oscilio_pick_rate,Aurora_total_count,Aurora_average_count_per_deck,Aurora_average_count_per_normalized_deck,Aurora_pick_rate,weighted_pick_rate
Germinate (blue),mythic,3,ROS004,"Earth, Runeblade, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS004.png,drgrrjBH9rz9k67qc6WnF,Blue,3,XX,,3,,,,"Earth, Runeblade, Action",,Florian Specialization,,,,,,"""**Florian Specialization**",,,,,,,,8,0.026490066225165563,0.022972744412687058,0.1856336,0.1856336,0.18552319999999997,0.14273679534769398,8,0.07766990291262135,0.06735697876341254,0.4185179108925146,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10462947772312865
Thistle Bloom // Life (yellow),mythic,2,ROS005,"Runeblade, Action, Earth, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS005.png,MLzWh7MWcDdN8wnwQWwMN,Yellow,2,0,,3,,,,"Runeblade, Action, Earth, Instant",,Meld,,,,,,"""**Meld**",,,,,,,,2,0.006622516556291391,0.005818594767199991,0.1856336,0.1856336,0.18552319999999997,0.035684198836923496,2,0.019417475728155338,0.017060345822275703,0.10462947772312865,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.026157369430782163
Arcane Seeds // Life (red),rare,1,ROS006,"Runeblade, Action, Earth, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS006.png,f8bDMcqJ78QTCBznWpwwN,Red,1,0,,3,,,,"Runeblade, Action, Earth, Instant",,"Meld, Go again",,,,,,"""**Meld**",,,,,,,,51,0.16887417218543047,0.1458144709678478,0.8496496842105264,0.8496496842105264,1.164547625924315,0.1717743481849274,51,0.49514563106796117,0.42753369157563137,0.4984649199349118,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12461622998372796
Vaporize // Shock (yellow),mythic,2,ROS011,"Runeblade, Instant, Lightning, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS011.png,NMfPbTgbMbP9pnnCKMQD9,Yellow,2,0,,,,,1,"Runeblade, Instant, Lightning, Instant",,Meld,,,,,,"""**Meld**",,,,,,,,3,0.009933774834437087,0.008436369256706792,0.1856336,0.1856336,0.18552319999999997,0.05352629825538524,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.04477611940298507,0.03802661963470823,0.24124766343596374,0.060311915858990935
Burn Up // Shock (red),rare,1,ROS012,"Runeblade, Action, Lightning, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS012.png,RmwkmHccFCW9T8HNbmBFq,Red,1,0,,3,,,5,"Runeblade, Action, Lightning, Instant",,"Go again, Meld",,,,,,"""**Meld**",,,,,,,,36,0.11920529801324503,0.1009633107949998,0.8496496842105264,0.8496496842105264,1.164547625924315,0.12125248107171345,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,0.5373134328358209,0.4550883561207454,0.572249797715048,0.143062449428762
Heartbeat of Candlehold (blue),mythic,3,ROS016,"Earth, Wizard, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS016.png,rQ7rcfpMdHMcLkTqtnfHz,Blue,3,1,,3,,,,"Earth, Wizard, Action",,"Verdance Specialization, Go again",,,,,,"""**Verdance Specialization**",,,,,,,,13,0.04304635761589404,0.037311263516079704,0.1856336,0.1856336,0.18552319999999997,0.2319472924400027,0,0.0,0.0,0.0,13,0.15294117647058825,0.13256472449242437,0.8241237713202089,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.20603094283005222
Pulsing Aether // Life (red),rare,1,ROS018,"Wizard, Action, Earth, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS018.png,MndFg9bzntzzrFkHNgzfz,Red,1,1,,3,,,4,"Wizard, Action, Earth, Instant",,Meld,,,,,,"""**Meld**",,,,,,,,61,0.20198675496688742,0.17072893876570597,0.8496496842105264,0.8496496842105264,1.164547625924315,0.20545559292707002,0,0.0,0.0,0.0,61,0.7176470588235294,0.6065898765558023,0.7165424137032222,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.17913560342580556
Sigil of Brilliance (yellow),mythic,2,ROS022,"Lightning, Wizard, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS022.png,HnMKfF8fQMj9KJfhGBkdG,Yellow,2,0,,,,,,"Lightning, Wizard, Instant, Aura",,Oscilio Specialization,,,,,,"""**Oscilio Specialization**",,,,,,,,6,0.019867549668874173,0.01609216274604912,0.1856336,0.1856336,0.18552319999999997,0.10705259651077048,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.1276595744680851,0.10340070530440072,0.6878792737022102,0,0.0,0.0,0.0,0.17196981842555256
Null // Shock (yellow),mythic,2,ROS023,"Wizard, Instant, Lightning, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS023.png,JTrNBd8TcnPmB6KdDmjRN,Yellow,2,1,,,,,1,"Wizard, Instant, Lightning, Instant",,"Meld, Negate",,,,,,"""**Meld**",,,,,,,,4,0.013245033112582781,0.01080018215779805,0.1856336,0.1856336,0.18552319999999997,0.07136839767384699,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0851063829787234,0.06939691514159599,0.45858618246814015,0,0.0,0.0,0.0,0.11464654561703504
Comet Storm // Shock (red),rare,1,ROS024,"Wizard, Action, Lightning, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS024.png,hNtpt77b8dGgTbkCqzCLB,Red,1,2,,3,,,6,"Wizard, Action, Lightning, Instant",,Meld,,,,,,"""**Meld**",,,,,,,,31,0.10264900662251655,0.08444591585109905,0.8496496842105264,0.8496496842105264,1.164547625924315,0.10441185870064214,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31,0.6595744680851063,0.5426099273836577,0.6660022122452197,0,0.0,0.0,0.0,0.16650055306130493
Helm of Lignum Vitae,common,0,ROS029,"Earth, Equipment, Head",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS029.png,7gkkzWWDprGtBpfq8QPWC,,,,,1,,,,"Earth, Equipment, Head",,Blade Break,,,,,,"""If there are 4 or more Earth cards in your banished zone, this gets +1{d}.",,,,,,,,115,0.38079470198675497,0.0,1.9999999999999998,2.2499999999999987,2.90909090909091,0.15506726732248474,63,0.6116504854368932,0.0,0.24587546567323043,52,0.611764705882353,0.0,0.24612736660929432,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12300070807063118
