deck_id,hero,date,card_name,count,is_equipment
0,Florian,2024-09-16T20:34:51,Arcane Polarity (red),1,0
0,Florian,2024-09-16T20:34:51,Arcane Seeds // Life (red),1,0
0,Florian,2024-09-16T20:34:51,Autumn's Touch (red),1,0
0,Florian,2024-09-16T20:34:51,Brush Off (red),2,0
0,Florian,2024-09-16T20:34:51,Fyendal's Fighting Spirit (red),1,0
0,Florian,2024-09-16T20:34:51,Hocus Pocus (red),1,0
0,Florian,2024-09-16T20:34:51,Malefic Incantation (red),1,0
0,Florian,2024-09-16T20:34:51,Oath of the Arknight (red),1,0
0,Florian,2024-09-16T20:34:51,Rootbound Carapace (red),1,0
0,Florian,2024-09-16T20:34:51,Strength of Four Seasons (red),1,0
0,Florian,2024-09-16T20:34:51,Summer's Fall (red),1,0
0,Florian,2024-09-16T20:34:51,Arcanic Spike (yellow),1,0
0,Florian,2024-09-16T20:34:51,Brush Off (yellow),1,0
0,Florian,2024-09-16T20:34:51,Cadaverous Tilling (yellow),2,0
0,Florian,2024-09-16T20:34:51,Fertile Ground (yellow),2,0
0,Florian,2024-09-16T20:34:51,Oath of the Arknight (yellow),1,0
0,Florian,2024-09-16T20:34:51,Splintering Deadwood (yellow),1,0
0,Florian,2024-09-16T20:34:51,Autumn's Touch (blue),1,0
0,Florian,2024-09-16T20:34:51,Cadaverous Tilling (blue),1,0
0,Florian,2024-09-16T20:34:51,Condemn to Slaughter (blue),1,0
0,Florian,2024-09-16T20:34:51,Consuming Volition (blue),2,0
0,Florian,2024-09-16T20:34:51,Deadwood Dirge (blue),1,0
0,Florian,2024-09-16T20:34:51,Fruits of the Forest (blue),1,0
0,Florian,2024-09-16T20:34:51,Hocus Pocus (blue),2,0
0,Florian,2024-09-16T20:34:51,Malefic Incantation (blue),1,0
0,Florian,2024-09-16T20:34:51,Meat and Greet (blue),1,0
0,Florian,2024-09-16T20:34:51,Oath of the Arknight (blue),1,0
0,Florian,2024-09-16T20:34:51,Rootbound Carapace (blue),1,0
0,Florian,2024-09-16T20:34:51,Runerager Swarm (blue),1,0
0,Florian,2024-09-16T20:34:51,Four Finger Gloves,1,1
0,Florian,2024-09-16T20:34:51,Hood of Second Thoughts,1,1
0,Florian,2024-09-16T20:34:51,Runaways,1,1
1,Verdance,2024-09-16T23:39:09,Aether Quickening (red),1,0
1,Verdance,2024-09-16T23:39:09,Arcane Twining (red),1,0
1,Verdance,2024-09-16T23:39:09,Cadaverous Tilling (red),2,0
1,Verdance,2024-09-16T23:39:09,Etchings of Arcana (red),2,0
1,Verdance,2024-09-16T23:39:09,Fertile Ground (red),2,0
1,Verdance,2024-09-16T23:39:09,Harvest Season (red),2,0
1,Verdance,2024-09-16T23:39:09,Overflow the Aetherwell (red),1,0
1,Verdance,2024-09-16T23:39:09,Perennial Aetherbloom (red),3,0
1,Verdance,2024-09-16T23:39:09,Photon Splicing (red),2,0
1,Verdance,2024-09-16T23:39:09,Trailblazing Aether (red),2,0
1,Verdance,2024-09-16T23:39:09,Arcane Polarity (yellow),1,0
1,Verdance,2024-09-16T23:39:09,Blossoming Decay (yellow),1,0
1,Verdance,2024-09-16T23:39:09,Rootbound Carapace (yellow),1,0
1,Verdance,2024-09-16T23:39:09,Aether Quickening (blue),2,0
