hero,date,deck_count
Aurora,2024-09-17,3
Aurora,2024-09-18,4
Aurora,2024-09-19,2
Aurora,2024-09-20,1
Aurora,2024-09-21,1
Aurora,2024-09-22,2
Aurora,2024-09-23,3
Aurora,2024-09-24,3
Aurora,2024-09-25,1
Aurora,2024-09-26,2
Aurora,2024-09-27,2
Aurora,2024-09-29,1
Aurora,2024-09-30,4
Aurora,2024-10-01,6
Aurora,2024-10-02,3
Aurora,2024-10-03,7
Aurora,2024-10-04,1
Aurora,2024-10-07,2
Aurora,2024-10-08,3
Aurora,2024-10-09,2
Aurora,2024-10-10,2
Aurora,2024-10-11,1
Aurora,2024-10-12,1
Aurora,2024-10-13,1
Aurora,2024-10-17,4
Aurora,2024-10-19,1
Aurora,2024-10-21,1
Aurora,2024-10-25,1
Aurora,2024-10-26,1
Aurora,2024-11-22,1
Florian,2024-09-16,1
Florian,2024-09-17,7
Florian,2024-09-18,9
Florian,2024-09-19,3
Florian,2024-09-20,2
Florian,2024-09-22,1
Florian,2024-09-23,3
Florian,2024-09-24,2
Florian,2024-09-25,2
Florian,2024-09-26,5
Florian,2024-09-27,3
Florian,2024-09-28,2
Florian,2024-09-29,3
Florian,2024-09-30,2
Florian,2024-10-01,2
Florian,2024-10-02,3
Florian,2024-10-03,8
Florian,2024-10-04,6
Florian,2024-10-05,7
Florian,2024-10-08,5
Florian,2024-10-09,3
Florian,2024-10-10,2
Florian,2024-10-11,2
Florian,2024-10-15,2
Florian,2024-10-16,6
Florian,2024-10-17,2
Florian,2024-10-18,3
Florian,2024-10-19,2
Florian,2024-10-20,1
Florian,2024-10-23,2
Florian,2024-10-25,1
Florian,2024-10-28,1
Oscilio,2024-09-16,1
Oscilio,2024-09-17,6
Oscilio,2024-09-18,4
Oscilio,2024-09-19,5
Oscilio,2024-09-20,1
Oscilio,2024-09-22,2
Oscilio,2024-09-26,1
Oscilio,2024-09-27,1
Oscilio,2024-09-30,2
Oscilio,2024-10-01,1
Oscilio,2024-10-03,2
Oscilio,2024-10-04,4
Oscilio,2024-10-07,1
Oscilio,2024-10-08,2
Oscilio,2024-10-09,1
Oscilio,2024-10-10,1
Oscilio,2024-10-12,2
Oscilio,2024-10-13,1
Oscilio,2024-10-15,1
Oscilio,2024-10-17,1
Oscilio,2024-10-18,1
Oscilio,2024-10-21,1
Oscilio,2024-10-22,1
Oscilio,2024-10-24,2
Oscilio,2024-10-25,2
Verdance,2024-09-16,1
Verdance,2024-09-17,5
Verdance,2024-09-18,4
Verdance,2024-09-19,7
Verdance,2024-09-20,3
Verdance,2024-09-22,2
Verdance,2024-09-23,1
Verdance,2024-09-24,1
Verdance,2024-09-25,1
Verdance,2024-09-27,1
Verdance,2024-09-28,2
Verdance,2024-09-29,1
Verdance,2024-09-30,1
Verdance,2024-10-01,3
Verdance,2024-10-02,3
Verdance,2024-10-03,8
Verdance,2024-10-04,5
Verdance,2024-10-05,3
Verdance,2024-10-06,3
Verdance,2024-10-07,3
Verdance,2024-10-08,2
Verdance,2024-10-09,4
Verdance,2024-10-10,1
Verdance,2024-10-11,3
Verdance,2024-10-13,1
Verdance,2024-10-15,2
Verdance,2024-10-16,4
Verdance,2024-10-17,2
Verdance,2024-10-18,1
Verdance,2024-10-21,1
Verdance,2024-10-22,2
Verdance,2024-10-23,2
Verdance,2024-10-24,1
Verdance,2024-10-26,1
