Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Marlynn_total_count,Marlynn_average_count_per_deck,Marlynn_average_count_per_normalized_deck,Marlynn_pick_rate,Puffin_total_count,Puffin_average_count_per_deck,Puffin_average_count_per_normalized_deck,Puffin_pick_rate,Gravy Bones_total_count,Gravy Bones_average_count_per_deck,Gravy Bones_average_count_per_normalized_deck,Gravy Bones_pick_rate,"Scurv, Stowaway_total_count","Scurv, Stowaway_average_count_per_deck","Scurv, Stowaway_average_count_per_normalized_deck","Scurv, Stowaway_pick_rate",weighted_pick_rate
Golden Skywarden (yellow),mythic,2,SEA004,"Pirate, Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA004.webp,cTchBtPqMqnNgDGGW89Gp,Yellow,2,4,7,2,,,,"Pirate, Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, this gets +1{d}. If a Golden Cog is destroyed this way, create a Gold token and repeat this process.",Pirate Mechanologist Action - Attack,,,,No,No,,7,0.01580135440180587,0.013626978638265319,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.0878630197289198,0,0.0,0.0,0.0,7,0.056910569105691054,0.04907928078659786,0.31648954815484226,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07912238703871056
Jolly Bludger (yellow),mythic,2,SEA005,"Pirate, Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA005.webp,6cNLLnWnpJdfmdpQHMFMb,Yellow,2,2,5,3,,,,"Pirate, Mechanologist, Action, Attack",,"Overpower, Steal",Thrice per Turn Instant,,,,,"""When this attacks, you may {t} a cog you control. If you do, this gets **overpower**.",,,,,,,,13,0.029345372460496615,0.024461113715004645,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.16317417949656535,0,0.0,0.0,0.0,13,0.10569105691056911,0.08809978354265902,0.5877663037161356,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1469415759290339
Rust Belt,common,0,SEA009,"Mechanologist, Equipment, Chest",https://prod-content.fabrary.io/cards/SEA009.webp,LKtdCkW87n6dJCtKqqkMw,,,,,1,,,,"Mechanologist, Equipment, Chest",,Battleworn,,,,,,"""**Instant** - {t} a cog you control, destroy this: Gain {r}.",,,,,,,,77,0.17381489841986456,0.0,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.10167900446632185,0,0.0,0.0,0.0,77,0.6260162601626016,0.0,0.3663748829184827,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09159372072962067
Unicycle,common,0,SEA010,"Mechanologist, Equipment, Legs",https://prod-content.fabrary.io/cards/SEA010.webp,Hp8cr9fLGCnpNCfrgKFJN,,,,,1,,,,"Mechanologist, Equipment, Legs",,Battleworn,,,,,,"""**Instant** - Destroy this: {u} a cog you control.",,,,,,,,87,0.1963882618510158,0.0,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.11488406998142858,0,0.0,0.0,0.0,87,0.7073170731707317,0.0,0.41395603654425966,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10348900913606492
Cogwerx Dovetail (red),mythic,1,SEA011,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA011.webp,dnhGwzTLMbDMGLfrBgnzz,Red,1,1,5,3,,,,"Mechanologist, Action, Attack",,Go again,Thrice per Turn Instant,,,,,"""When this hits a hero, {u} all cogs you control.",,,,,,,,14,0.03160270880361174,0.026854505208449255,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.1757260394578396,0,0.0,0.0,0.0,14,0.11382113821138211,0.09671988461254488,0.6329790963096845,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15824477407742113
Palantir Aeronought (red),mythic,1,SEA012,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA012.webp,c9TrL6MwcrMKtmTbCHL76,Red,1,2,6,3,,,,"Mechanologist, Action, Attack",,,Thrice per Turn Instant,,,,,"""The defending hero must defend this with an equipment they control if able.",,,,,,,,7,0.01580135440180587,0.013082907120883485,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.0878630197289198,0,0.0,0.0,0.0,7,0.056910569105691054,0.0471197386548893,0.31648954815484226,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07912238703871056
Cog in the Machine (red),mythic,1,SEA013,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA013.webp,jqrFDnJPwhw6bcQCcrLQT,Red,1,1,,3,,,,"Mechanologist, Action",,,,,,,,"""Create 2 Golden Cog tokens.",,,,,,,,10,0.022573363431151242,0.01996788160949976,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.1255185996127426,0,0.0,0.0,0.0,10,0.08130081300813008,0.07191684189437718,0.45212792593548895,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11303198148387224
Cogwerx Workshop (blue),mythic,3,SEA014,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA014.webp,NtGRcJrNgDN6LcQtcN7Qb,Blue,3,1,,3,,,,"Mechanologist, Action",,,,,,,,"""Create a Golden Cog token.",,,,,,,,4,0.009029345372460496,0.008255985823705915,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.05020743984509703,0,0.0,0.0,0.0,4,0.032520325203252036,0.02973497333253431,0.18085117037419557,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04521279259354889
Cloud City Steamboat (red),rare,1,SEA015,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA015.webp,rPqkgWJCRBcDzDGPgMzBj,Red,1,2,6,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,,40,0.09029345372460497,0.07768257234780739,0.7582363511904764,0.762198275,0.7975172199921293,0.11586607880632407,0,0.0,0.0,0.0,40,0.3252032520325203,0.27978357357787537,0.4173761451322549,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10434403628306373
Cloud City Steamboat (yellow),rare,2,SEA016,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA016.webp,kTKcmGwRgtjQcGFRRG6fT,Yellow,2,2,5,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,,35,0.07900677200902935,0.06708896509657344,0.7582363511904764,0.762198275,0.7975172199921293,0.10138281895553355,0,0.0,0.0,0.0,35,0.2845528455284553,0.24162936209578892,0.3652041269907231,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09130103174768077
Cloud City Steamboat (blue),rare,3,SEA017,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA017.webp,pPgMnD6hBcnm8gcdHL79J,Blue,3,2,4,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,,39,0.08803611738148984,0.07634477316483824,0.7582363511904764,0.762198275,0.7975172199921293,0.11296942683616597,0,0.0,0.0,0.0,39,0.3170731707317073,0.2749653212359621,0.4069417415039486,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10173543537598714
Cogwerx Zeppelin (red),rare,1,SEA018,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA018.webp,WMNLQNgmCHD7FwnFFq6dG,Red,1,2,6,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,,51,0.11512415349887133,0.0994665018123715,0.7582363511904764,0.762198275,0.7975172199921293,0.14772925047806318,0,0.0,0.0,0.0,51,0.4146341463414634,0.35824114067382584,0.532154585043625,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13303864626090625
Cogwerx Zeppelin (yellow),rare,2,SEA019,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA019.webp,fJzjdQTnDbfNwGCDWCBNK,Yellow,2,2,5,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,,43,0.09706546275395034,0.08291108949858954,0.7582363511904764,0.762198275,0.7975172199921293,0.12455603471679838,0,0.0,0.0,0.0,43,0.34959349593495936,0.29861473697459484,0.44867935601717407,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11216983900429352
Cogwerx Zeppelin (blue),rare,3,SEA020,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA020.webp,kNggzqkBtLWRqfhFCMbfQ,Blue,3,2,4,3,,,,"Mechanologist, Action, Attack",,,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,,49,0.11060948081264109,0.09370719248618667,0.7582363511904764,0.762198275,0.7975172199921293,0.141935946537747,0,0.0,0.0,0.0,49,0.3983739837398374,0.33749826236894875,0.5112857777870122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12782144444675306
Copper Cog (blue),rare,3,SEA021,"Mechanologist, Action, Cog, Item",https://prod-content.fabrary.io/cards/SEA021.webp,kzBc7Bmrk7TfHNwhQK6Lj,Blue,3,0,,,,,,"Mechanologist, Action, Cog, Item",,"Unlimited, Crank",,,,,,"""**Unlimited**",,,,,,,,43,0.09706546275395034,0.08191807806164957,0.7582363511904764,0.762198275,0.7975172199921293,0.12455603471679838,0,0.0,0.0,0.0,43,0.34959349593495936,0.29503828114886793,0.44867935601717407,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11216983900429352
Lubricate (blue),rare,3,SEA022,"Mechanologist, Instant",https://prod-content.fabrary.io/cards/SEA022.webp,pKtKBmHB8P6Nwr8TP7p6D,Blue,3,0,,,,,,"Mechanologist, Instant",,,,,,,,{u} up to 3 cogs you control.,Mechanologist Instant,,,,,No,,24,0.05417607223476298,0.04590220995795966,0.7582363511904764,0.762198275,0.7975172199921293,0.06951964728379444,0,0.0,0.0,0.0,24,0.1951219512195122,0.16532259358842383,0.250425687079353,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06260642176983824
Pinion Sentry (blue),rare,3,SEA023,"Mechanologist, Block",https://prod-content.fabrary.io/cards/SEA023.webp,gQdQfNwNMgDLJfkcNWmhH,Blue,3,,,3,,,,"Mechanologist, Block",,,,,,,,"When this defends, you may {t} a cog you control. If you do, create a Golden Cog token.",Mechanologist Block,,,,,No,,33,0.0744920993227991,0.062220749548217075,0.7582363511904764,0.762198275,0.7975172199921293,0.09558951501521736,0,0.0,0.0,0.0,33,0.2682926829268293,0.2240958703240664,0.3443353197341103,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08608382993352758
Cloud Skiff (red),common,1,SEA024,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA024.webp,mbNRPd7D9TN76C8wbBRrL,Red,1,1,5,3,,,,"Mechanologist, Action, Attack",,Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,,168,0.3792325056433409,0.322504831120789,2.4207852014652014,2.4347523450980395,3.139579792252512,0.13555566169291186,0,0.0,0.0,0.0,168,1.3658536585365855,1.1615417901342238,0.4892398999444841,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12230997498612102
Cloud Skiff (yellow),common,2,SEA025,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA025.webp,kkfTJq9f9rMqbkPkbJm8R,Yellow,2,1,4,3,,,,"Mechanologist, Action, Attack",,Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,,96,0.21670428893905191,0.1836356344228193,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.09468324542556027,0,0.0,0.0,0.0,96,0.7804878048780488,0.6613868784496663,0.3405376228919391,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08513440572298478
Cloud Skiff (blue),common,3,SEA026,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA026.webp,nNnqFQD7WfGFGRnrMw8nh,Blue,3,1,3,3,,,,"Mechanologist, Action, Attack",,Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,,115,0.2595936794582393,0.22082867452203186,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.11342263774936906,0,0.0,0.0,0.0,115,0.9349593495934959,0.7953422992947976,0.4079356940893021,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10198392352232552
Sky Skimmer (red),common,1,SEA027,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA027.webp,MjtP6GFTmC7j96tmLrJ97,Red,1,0,4,3,,,,"Mechanologist, Action, Attack",,,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,,163,0.36794582392776526,0.3150588976004589,2.4207852014652014,2.4347523450980395,3.139579792252512,0.13152126699967046,0,0.0,0.0,0.0,163,1.3252032520325203,1.1347243222520593,0.4746791886366125,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11866979715915313
Sky Skimmer (yellow),common,2,SEA028,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA028.webp,fWMNJw87bKTw7PFwcDgGc,Yellow,2,0,3,3,,,,"Mechanologist, Action, Attack",,,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,,108,0.24379232505643342,0.2052079260390918,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.1065186511037553,0,0.0,0.0,0.0,108,0.8780487804878049,0.7390822051651843,0.3831048257534315,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09577620643835788
Sky Skimmer (blue),common,3,SEA029,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA029.webp,h6kzb7mjjwrhQDDTnnJqF,Blue,3,0,2,3,,,,"Mechanologist, Action, Attack",,,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,,123,0.27765237020316025,0.23717003278551108,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.12131290820149909,0,0.0,0.0,0.0,123,1.0,0.8541977603575724,0.436313829330297,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10907845733257425
Teeth of the Cog (red),common,1,SEA030,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA030.webp,9fgDH76FTCT7NWzJmBRGk,Red,1,0,4,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,113,0.255079006772009,0.22048997012850852,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.11145007013633657,0,0.0,0.0,0.0,113,0.9186991869918699,0.7941224127392623,0.40084116027905337,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10021029006976334
Teeth of the Cog (yellow),common,2,SEA031,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA031.webp,d7MbqP6qdjzHWbbJTzCfF,Yellow,2,0,3,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,66,0.1489841986455982,0.12741627900470073,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.06509473123007269,0,0.0,0.0,0.0,66,0.5365853658536586,0.45890578535839366,0.23411961573820816,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05852990393455204
Teeth of the Cog (blue),common,3,SEA032,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA032.webp,Mphbggf6mpBbRJJb6dfgL,Blue,3,0,2,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,111,0.2505643340857788,0.21399554808034463,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.10947750252330406,0,0.0,0.0,0.0,111,0.9024390243902439,0.7707319333300217,0.3937466264688046,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09843665661720115
Tough Old Wrench (red),common,1,SEA033,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA033.webp,KwphDpWLnJrjGGMGnJc9n,Red,1,2,6,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,98,0.22121896162528218,0.18825317175426196,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.09665581303859276,0,0.0,0.0,0.0,98,0.7967479674796748,0.6780175210336427,0.3476321567021879,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08690803917554697
