deck_id,hero,date,assigned_draft_index
0,Gravy Bones,2025-05-24T23:55:47,1
1,Gravy Bones,2025-05-25T00:35:10,1
2,Gravy Bones,2025-05-24T23:55:47,1
3,Gravy Bones,2025-05-25T00:35:10,1
4,Gravy Bones,2025-05-24T23:55:47,1
5,Gravy Bones,2025-05-25T00:35:10,1
6,"Scurv, Stowaway",2025-05-25T04:19:22,1
7,Puffin,2025-05-25T04:50:40,1
8,Marlynn,2025-05-25T05:02:09,1
9,Marlynn,2025-05-25T06:15:13,1
10,Puffin,2025-05-25T06:37:33,1
11,Puffin,2025-05-25T08:12:58,1
12,Puffin,2025-05-25T08:37:16,1
13,Gravy Bones,2025-05-25T11:14:59,1
14,Puffin,2025-05-25T12:31:04,1
15,Gravy Bones,2025-05-25T13:31:18,1
16,Gravy Bones,2025-05-25T15:10:49,1
17,Marlynn,2025-05-25T15:42:02,1
18,Puffin,2025-05-25T16:08:24,1
19,Marlynn,2025-05-25T18:32:48,1
20,Puffin,2025-05-25T18:52:36,1
21,Puffin,2025-05-25T19:34:30,1
22,Marlynn,2025-05-25T21:07:30,1
23,Marlynn,2025-05-25T22:04:15,1
24,Gravy Bones,2025-05-25T22:10:06,1
25,Marlynn,2025-05-25T22:48:03,1
26,Puffin,2025-05-25T23:12:07,1
27,Marlynn,2025-05-25T23:21:50,1
28,"Scurv, Stowaway",2025-05-25T23:30:20,1
29,Gravy Bones,2025-05-25T23:35:51,1
30,Marlynn,2025-05-26T00:09:36,1
31,Puffin,2025-05-26T00:27:23,1
32,Marlynn,2025-05-26T03:11:50,1
33,Puffin,2025-05-26T03:20:19,1
34,Gravy Bones,2025-05-26T03:46:23,1
35,Puffin,2025-05-26T04:47:04,1
36,Puffin,2025-05-26T05:40:58,1
37,Marlynn,2025-05-26T05:58:55,1
38,"Scurv, Stowaway",2025-05-26T07:08:27,1
39,Marlynn,2025-05-26T07:34:39,1
40,"Scurv, Stowaway",2025-05-26T14:04:08,1
41,Gravy Bones,2025-05-26T14:37:41,1
42,Puffin,2025-05-26T14:59:52,1
43,Marlynn,2025-05-26T15:46:20,1
44,Gravy Bones,2025-05-26T16:05:37,1
45,Gravy Bones,2025-05-26T18:58:06,1
46,Puffin,2025-05-26T19:38:14,1
47,Gravy Bones,2025-05-26T21:35:21,1
48,"Scurv, Stowaway",2025-05-26T21:52:38,1
49,Marlynn,2025-05-26T22:59:23,1
50,Marlynn,2025-05-26T23:54:26,1
51,"Scurv, Stowaway",2025-05-27T00:36:12,1
52,Puffin,2025-05-27T00:48:39,1
53,Gravy Bones,2025-05-27T02:51:59,1
54,Marlynn,2025-05-27T04:08:30,1
55,Marlynn,2025-05-27T05:29:38,1
56,Marlynn,2025-05-27T05:32:05,1
57,Puffin,2025-05-27T05:32:06,1
58,Marlynn,2025-05-27T07:09:06,1
59,Marlynn,2025-05-27T07:16:14,1
60,Marlynn,2025-05-27T12:23:10,1
61,Puffin,2025-05-27T13:14:38,1
62,Marlynn,2025-05-27T13:49:38,1
63,Puffin,2025-05-27T14:35:57,1
64,"Scurv, Stowaway",2025-05-27T16:07:59,1
65,Gravy Bones,2025-05-27T20:09:54,1
66,Gravy Bones,2025-05-27T21:10:55,1
67,Gravy Bones,2025-05-27T21:47:45,1
68,Gravy Bones,2025-05-27T21:48:17,1
69,Puffin,2025-05-27T22:21:27,1
70,Gravy Bones,2025-05-27T22:35:54,1
71,Puffin,2025-05-27T22:40:16,1
72,Marlynn,2025-05-27T22:55:04,1
73,Puffin,2025-05-27T23:30:31,1
74,Puffin,2025-05-27T23:53:02,1
75,Puffin,2025-05-28T00:41:40,1
76,Puffin,2025-05-28T01:14:00,1
77,Marlynn,2025-05-28T02:37:29,1
78,Puffin,2025-05-28T03:42:03,1
79,Marlynn,2025-05-28T04:36:39,1
80,Gravy Bones,2025-05-28T05:04:09,1
81,Gravy Bones,2025-05-28T06:16:33,1
82,Gravy Bones,2025-05-28T08:40:19,1
83,Gravy Bones,2025-05-28T09:47:38,1
84,Gravy Bones,2025-05-28T13:00:33,1
85,Marlynn,2025-05-28T13:01:42,1
86,Gravy Bones,2025-05-28T14:48:54,1
87,Gravy Bones,2025-05-28T16:00:07,1
88,Puffin,2025-05-28T16:09:15,1
89,Gravy Bones,2025-05-28T16:12:39,1
90,Gravy Bones,2025-05-28T17:33:19,1
91,Gravy Bones,2025-05-28T17:50:04,1
92,Puffin,2025-05-28T17:59:54,1
93,Gravy Bones,2025-05-28T18:07:09,1
94,Gravy Bones,2025-05-28T19:03:21,1
95,Gravy Bones,2025-05-28T20:07:23,1
96,Gravy Bones,2025-05-28T21:15:08,1
97,Puffin,2025-05-28T22:53:29,1
98,Puffin,2025-05-28T23:12:57,1
99,Gravy Bones,2025-05-28T23:59:02,1
100,Marlynn,2025-05-29T00:35:08,1
101,Gravy Bones,2025-05-29T00:41:30,1
102,Gravy Bones,2025-05-29T01:56:45,1
103,Marlynn,2025-05-29T02:59:49,1
104,Puffin,2025-05-29T03:23:14,1
105,Puffin,2025-05-29T03:27:54,1
106,Marlynn,2025-05-29T03:48:46,1
107,Puffin,2025-05-29T05:21:22,1
108,Marlynn,2025-05-29T05:27:38,1
109,Puffin,2025-05-29T05:47:34,1
110,Puffin,2025-05-29T06:16:34,1
111,Marlynn,2025-05-29T07:51:50,1
112,Gravy Bones,2025-05-29T08:26:23,1
113,Gravy Bones,2025-05-29T10:17:37,1
114,Gravy Bones,2025-05-29T13:02:17,1
115,Gravy Bones,2025-05-29T14:44:40,1
116,Gravy Bones,2025-05-29T16:31:01,1
117,Gravy Bones,2025-05-29T17:34:28,1
118,Marlynn,2025-05-29T18:02:06,1
119,Gravy Bones,2025-05-29T21:20:02,1
120,Gravy Bones,2025-05-29T22:41:35,1
121,Gravy Bones,2025-05-29T22:57:17,1
122,Gravy Bones,2025-05-29T23:26:15,2
123,Marlynn,2025-05-30T00:05:05,2
