deck_id,hero,date,card_name,count,is_equipment
0,Gravy Bones,2025-05-24T23:55:47,Angry Bones (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Burly Bones (red),2,0
0,Gravy Bones,2025-05-24T23:55:47,Expedition to Blackwater Strait (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Expedition to Dreadfall Reach (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Hoist 'Em Up (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Jittery Bones (red),2,0
0,Gravy Bones,2025-05-24T23:55:47,Rally the Coast Guard (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Restless Bones (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Swiftwater Sloop (red),1,0
0,Gravy Bones,2025-05-24T23:55:47,Barnacle (yellow),2,0
0,Gravy Bones,2025-05-24T23:55:47,Burly Bones (yellow),1,0
0,Gravy Bones,2025-05-24T23:55:47,"Cutty Shark, Quick Clip (yellow)",2,0
0,Gravy Bones,2025-05-24T23:55:47,Flying High (yellow),1,0
0,Gravy Bones,2025-05-24T23:55:47,Gold Hunter Ketch (yellow),2,0
0,Gravy Bones,2025-05-24T23:55:47,Jittery Bones (yellow),1,0
0,Gravy Bones,2025-05-24T23:55:47,Money or Your Life? (yellow),1,0
0,Gravy Bones,2025-05-24T23:55:47,"Scooba, Salty Sea Dog (yellow)",1,0
0,Gravy Bones,2025-05-24T23:55:47,Sea Legs (yellow),1,0
0,Gravy Bones,2025-05-24T23:55:47,"Shelly, Hardened Traveler (yellow)",2,0
0,Gravy Bones,2025-05-24T23:55:47,Avast Ye! (blue),2,0
0,Gravy Bones,2025-05-24T23:55:47,Chart a Course (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Jittery Bones (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,On the Horizon (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Regain Composure (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Restless Bones (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Sea Floor Salvage (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Shifting Tides (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Throw Caution to the Wind (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Yo Ho Ho! (blue),1,0
0,Gravy Bones,2025-05-24T23:55:47,Captain's Coat,1,1
0,Gravy Bones,2025-05-24T23:55:47,Quartermaster's Boots,1,1
0,Gravy Bones,2025-05-24T23:55:47,Washed Up Wave,1,1
1,Gravy Bones,2025-05-25T00:35:10,Jittery Bones (red),2,0
1,Gravy Bones,2025-05-25T00:35:10,Restless Bones (red),2,0
1,Gravy Bones,2025-05-25T00:35:10,Trade In (red),1,0
1,Gravy Bones,2025-05-25T00:35:10,Walk the Plank (red),1,0
1,Gravy Bones,2025-05-25T00:35:10,Angry Bones (yellow),1,0
1,Gravy Bones,2025-05-25T00:35:10,Barnacle (yellow),1,0
1,Gravy Bones,2025-05-25T00:35:10,Burly Bones (yellow),1,0
1,Gravy Bones,2025-05-25T00:35:10,"Cutty Shark, Quick Clip (yellow)",1,0
1,Gravy Bones,2025-05-25T00:35:10,Flying High (yellow),1,0
1,Gravy Bones,2025-05-25T00:35:10,Gold Hunter Marauder (yellow),1,0
1,Gravy Bones,2025-05-25T00:35:10,Golden Tipple (yellow),1,0
