hero,date,deck_count
Gravy Bones,2025-05-24,3
Gravy Bones,2025-05-25,8
Gravy Bones,2025-05-26,5
Gravy Bones,2025-05-27,6
Gravy Bones,2025-05-28,15
Gravy Bones,2025-05-29,12
Gravy Bones,2025-05-30,7
Gravy Bones,2025-05-31,2
Gravy Bones,2025-06-01,5
Gravy Bones,2025-06-02,11
Gravy Bones,2025-06-03,8
Gravy Bones,2025-06-04,8
Gravy Bones,2025-06-05,7
Gravy Bones,2025-06-06,2
Gravy Bones,2025-06-07,3
Gravy Bones,2025-06-08,1
Gravy Bones,2025-06-09,2
Gravy Bones,2025-06-10,3
Gravy Bones,2025-06-11,2
Gravy Bones,2025-06-12,5
Gravy Bones,2025-06-13,6
Gravy Bones,2025-06-14,1
Gravy Bones,2025-06-16,7
Gravy Bones,2025-06-17,3
Gravy Bones,2025-06-18,3
Gravy Bones,2025-06-19,3
Gravy Bones,2025-06-20,1
Gravy Bones,2025-06-21,1
Gravy Bones,2025-06-22,1
Gravy Bones,2025-06-23,5
Gravy Bones,2025-06-24,2
Gravy Bones,2025-06-25,6
Gravy Bones,2025-06-26,3
Gravy Bones,2025-06-27,3
Gravy Bones,2025-06-30,1
Gravy Bones,2025-07-01,3
Gravy Bones,2025-07-02,2
Gravy Bones,2025-07-03,2
Gravy Bones,2025-07-04,3
Gravy Bones,2025-07-06,2
Gravy Bones,2025-07-07,2
Gravy Bones,2025-07-09,2
Gravy Bones,2025-07-10,2
Gravy Bones,2025-07-13,1
Gravy Bones,2025-07-14,2
Gravy Bones,2025-07-15,2
Marlynn,2025-05-25,8
Marlynn,2025-05-26,7
Marlynn,2025-05-27,8
Marlynn,2025-05-28,3
Marlynn,2025-05-29,6
Marlynn,2025-05-30,3
Marlynn,2025-05-31,2
Marlynn,2025-06-01,8
Marlynn,2025-06-02,4
Marlynn,2025-06-03,6
Marlynn,2025-06-04,3
Marlynn,2025-06-05,1
Marlynn,2025-06-06,3
Marlynn,2025-06-07,1
Marlynn,2025-06-08,2
Marlynn,2025-06-09,3
Marlynn,2025-06-10,1
Marlynn,2025-06-11,1
Marlynn,2025-06-12,2
Marlynn,2025-06-13,5
Marlynn,2025-06-14,3
Marlynn,2025-06-16,2
Marlynn,2025-06-17,5
Marlynn,2025-06-18,2
Marlynn,2025-06-19,3
Marlynn,2025-06-20,3
Marlynn,2025-06-21,1
Marlynn,2025-06-23,1
Marlynn,2025-06-24,4
Marlynn,2025-06-25,3
Marlynn,2025-06-26,1
Marlynn,2025-06-27,1
Marlynn,2025-06-30,1
Marlynn,2025-07-03,1
Marlynn,2025-07-04,1
Marlynn,2025-07-05,1
Marlynn,2025-07-07,1
Marlynn,2025-07-13,2
Puffin,2025-05-25,9
Puffin,2025-05-26,6
Puffin,2025-05-27,8
Puffin,2025-05-28,7
Puffin,2025-05-29,5
Puffin,2025-05-30,7
Puffin,2025-05-31,3
Puffin,2025-06-01,3
Puffin,2025-06-02,8
Puffin,2025-06-03,3
Puffin,2025-06-04,6
Puffin,2025-06-05,6
Puffin,2025-06-06,2
Puffin,2025-06-07,3
Puffin,2025-06-09,4
Puffin,2025-06-10,2
Puffin,2025-06-11,2
Puffin,2025-06-12,2
Puffin,2025-06-13,4
Puffin,2025-06-15,3
Puffin,2025-06-17,4
Puffin,2025-06-18,2
Puffin,2025-06-19,1
Puffin,2025-06-20,3
Puffin,2025-06-21,2
Puffin,2025-06-22,2
Puffin,2025-06-23,3
Puffin,2025-06-24,2
Puffin,2025-06-26,2
Puffin,2025-06-27,2
Puffin,2025-06-28,1
Puffin,2025-06-29,2
Puffin,2025-06-30,1
Puffin,2025-07-01,1
Puffin,2025-07-03,1
Puffin,2025-07-06,1
"Scurv, Stowaway",2025-05-25,2
"Scurv, Stowaway",2025-05-26,3
"Scurv, Stowaway",2025-05-27,2
"Scurv, Stowaway",2025-05-30,1
"Scurv, Stowaway",2025-05-31,3
"Scurv, Stowaway",2025-06-01,2
"Scurv, Stowaway",2025-06-03,2
"Scurv, Stowaway",2025-06-05,2
"Scurv, Stowaway",2025-06-08,1
"Scurv, Stowaway",2025-06-19,1
"Scurv, Stowaway",2025-06-21,1
"Scurv, Stowaway",2025-06-26,1
"Scurv, Stowaway",2025-07-03,1
"Scurv, Stowaway",2025-07-06,1
